NGÀY PICK,TÊN THÙNG,TÊN KHÁCH HÀNG,TÊN HÃNG,S? TRACKING,S? ORDER,S? S?N PH?M,GHI CHÚ 1,GHI CHÚ 2
4/21/2022,AH5,GLC LINHTRANTHANHTRUNG,SPORT,T0047A0096970950,,SEAL,,
4/21/2022,AH17,GLC MHTRUONGGIANG,.,VE530052005GB,,SEAL,,
4/21/2022,AH5,GLC PAHALINH,GEORGE,JJD0002249599597176,,SEAL,,
4/21/2022,AH5,GLC PAHALINH,GEORGE,JJD0002247287295140,,SEAL,,
4/21/2022,AH5,GLC PAHALINH,NEXT,T002VA0557647030,,SEAL,,
4/21/2022,AH5,GLC PAHALINH,NEXT,T002VA0558695981,,SEAL,,
4/21/2022,AH9,GLC PAHALINH,GEORGE,JJD0002249599600261,,SEAL,,
4/21/2022,AH5,GLC PAPHUONGTHAO,GEORGE,T00IKA0024383614,,SEAL,,
4/21/2022,AH9,GLC PAPHUONGTHAO,GEORGE,T00IKA0024617685,,SEAL,,
4/21/2022,AH5,GLC PAPHUONGTHAO ,GEORGE,T00IKA0024600705,,SEAL,,
4/21/2022,AH9,GLC SALMIA,AMAZON,QB0185707683,,SEAL,,
4/21/2022,AH9,GLC SALMIA,AMAZON,QB0186233794,,SEAL,,
4/21/2022,AH9,GLC SALMIA,.,H006JA0001165716,,14,,
4/21/2022,AH17,GLC SALMIA,.,JJD0002247918395092,,SEAL,,
4/21/2022,AH18,GLC TAMANHHUYEN,CALVIN,EH420402021GB,,1,,
4/21/2022,AH5,GLC TATHANHHA,.,WY884023929GB,,5,,
4/21/2022,AH5,GLC THAOMY,PRETTY,TZXXDA0246848868,,SEAL,,
4/21/2022,AH5,GLC THAOMY,ASOS,T00KMA0261561502,,SEAL,,
4/21/2022,AH9,GLC THAOMY,.,Æ¯Y277108361GB,,SEAL,,
4/21/2022,AH15,GLC THAOMY,ASOS,T00KMA0265246837,,SEAL,,
4/21/2022,AH15,GLC THAOMY,MISSGUIDED,T000VA0035618783,,SEAL,,
4/21/2022,AH18,GLC THAOMY,BOOHOO,T00H2A0130915534,,SEAL,,
4/21/2022,AH9,GLC THMINHXUAN,.,15504166174235,,SEAL,,
4/21/2022,AH9,GLC THMINHXUAN,.,41473390023308,,1,,
4/21/2022,AH16,GLC TMNDUNG,EBAY,KB897100173GB,,SEAL,,
4/21/2022,AH18,GLC TMNDUNG,.,FWBY6739761GB,,SEAL,,
4/21/2022,AH5,GLC TMPLAN,.,C00HHA0197750468,,SEAL,,
4/21/2022,AH5,GLC TMPLAN,.,02122DE403565C16,,SEAL,,
4/21/2022,AH5,GLC TMPLAN,.,02128DA9011A43E8,,SEAL,,
4/21/2022,AH12,GLC TMPLAN,.,CV438330152NL,,SEAL,EH014978919GB,
4/21/2022,AH15,GLC TMPLAN,EBAY ,050945FE529,,4,,
4/21/2022,AH15,GLC TMPLAN,.,C00HHA0198048600,,SEAL,,
4/21/2022,AH15,GLC TMPLAN,.,WD112869176GB,,SEAL,,
4/21/2022,AH16,GLC TMPLAN,.,050946026BD,,.,VO 1 DIA NHO,
4/21/2022,AH16,GLC TMPLAN,.,C00HHA0198535300,,SEAL,,
