NGÀY SCAN,STT,SỐ TRACKING,GHI CHÚ
08/02/2022,586,02136FC10329D652,MUK QUAN
08/02/2022,587,02136BCF01164B3E,NGUYENCONGTH
08/02/2022,588,21019076200000058A907,DATBACHA
10/02/2022,589,PBAH8538691001,
10/02/2022,590,0212C8FB01A76CF1,CINDY
10/02/2022,591,NY854340698GB,
10/02/2022,592,L10023111013033968,
10/02/2022,593,WD693759092GB,
10/02/2022,594,1 KIEN MUK QUAN,
10/02/2022,595,021481EE01422CE1,MUK QUAN
10/02/2022,596,WJ939727173GB,
10/02/2022,597,SM053453113GB,
10/02/2022,598,MD187916612GB,
10/02/2022,599,T00NWA0029148569,
10/02/2022,600,T00KMA0197667329,
10/02/2022,601,T00KMA0196925883,
10/02/2022,602,1ZV827826894606780,
10/02/2022,603,T00B8A0072614339,
10/02/2022,604,15505169094666,
10/02/2022,605,T00PWA0026588558,
10/02/2022,606,1 KIEN OANHOANH,
10/02/2022,607,21084798688200100037,
10/02/2022,608,21084798688200200034,
10/02/2022,609,0215A2FE01856E40,
10/02/2022,610,MD187916541GB,
10/02/2022,611,QT00NWA0029207250,
10/02/2022,612,JD712805424GB,
10/02/2022,613,T00B8A0072967019,
10/02/2022,614,H00IEA0068910378,
10/02/2022,615,T00P0A0022128641,
10/02/2022,616,T00MTA0037839694,
10/02/2022,617,JJD0002248603364641,
10/02/2022,618,NV200331215GB,
10/02/2022,619,T00KMA0197795510,
10/02/2022,620,T00PLA0106894463,
10/02/2022,621,MA242209339GB,
10/02/2022,622,T00KMA0198459610,
10/02/2022,623,NJ110577365GB,
10/02/2022,624,TZYDXA0010886222,
10/02/2022,625,WD201296903GB,
10/02/2022,626,KB883058878GB,
10/02/2022,627,MA401376425GB,
10/02/2022,628,JD742921724GB,
10/02/2022,629,JA234673409GB,
10/02/2022,630,1 KIEN MUK QUAN,
10/02/2022,631,0212F7CC0103722E,MUK THONG
10/02/2022,632,MA242215847GB,
10/02/2022,633,MA242215820GB,
10/02/2022,634,MA242215759GB,
10/02/2022,635,JJD0002249601517716,
10/02/2022,636,21084838087100100036,
10/02/2022,637,21084843017900300031,
10/02/2022,638,21084864187000100039,
10/02/2022,639,21084843017900100037,
10/02/2022,640,21084843017900200034,
10/02/2022,641,QA1960715041,
10/02/2022,642,QA1962907727,
10/02/2022,643,MD187930177GB,
10/02/2022,644,MD187933258GB,
10/02/2022,645,JJD0002219830338036,
10/02/2022,646,JJD0002219830339916,
10/02/2022,647,JJD0002249599530250,
13/02/2022,648,%0SE83PR15504742507966812826,
13/02/2022,649,%0SE83PR15504742507963812826,
13/02/2022,650,JJD0002249601517692,
13/02/2022,651,FY121396593GB,
13/02/2022,652,MD187949669GB,
13/02/2022,653,MD187948782GB,
13/02/2022,654,T00NWA0029382589,
13/02/2022,655,21084885743700100033,
13/02/2022,656,JD749798050GB,
13/02/2022,657,21284843018000100037,
13/02/2022,658,H00H8A0000798585,
13/02/2022,659,6053053020128323609962001605,
13/02/2022,660,15505453100827,
13/02/2022,661,T00B8A0073253310,
13/02/2022,662,%0SE83PR15502452904691812826,
13/02/2022,663,T00KMA0199699669,
13/02/2022,664,T00NWA0029387375,
13/02/2022,665,T00NWA0029366458,
13/02/2022,666,FY934163166GB,
13/02/2022,667,21014009000000025F99F,BINHBQ
13/02/2022,668,T002VA0471725689,
13/02/2022,669,C00HHA0158930134,
13/02/2022,670,L10023111013252113,
13/02/2022,671,1 KIEN MUK QUAN,
13/02/2022,672,0213C1E201817EF8,MUK QUAN
13/02/2022,673,SN232695790GB,
13/02/2022,674,04363109635942R,
13/02/2022,675,A11213427643,
13/02/2022,676,A11213429163,
13/02/2022,677,A11213432153,
13/02/2022,678,A11213421333,
13/02/2022,679,A11213435163,
13/02/2022,680,TA987344298GB,
13/02/2022,681,0213196C04438E8D,
13/02/2022,682,NY488839067GB,
13/02/2022,683,02118A8C01DBFE76,MUK QUAN
13/02/2022,684,0216E8220365F11A,DATBACHA
13/02/2022,685,SN211053804GB,
13/02/2022,686,JA234675943GB,
13/02/2022,687,QA1962134797,
13/02/2022,688,QA1963541310,
13/02/2022,689,T00P0A0022295745,
13/02/2022,690,T00NWA0029397388,
13/02/2022,691,T00P0A0022332012,
13/02/2022,692,T00B8A0073565537,
13/02/2022,693,T001PA0023645836,
13/02/2022,694,T001PA0023645646,
13/02/2022,695,T00KMA0200509028,
13/02/2022,696,T00B8A0073584602,
13/02/2022,697,T00PWA0026997872,
13/02/2022,698,T00PWA0026995296,
